ra,dec,mjd_u,u,g,r,i,z,objID
12.193545642932,-0.769969676020551,53638.34575567,23.36128,23.50145,22.19111,21.24381,20.63752,8658194495439241561
12.1935834610379,-0.769992895405425,53671.35071196,24.47437,22.55961,21.71517,21.21103,20.12445,8658195135395922414
12.1936073344094,-0.770036773657148,51081.3175104,22.77278,22.7508,21.7445,20.87135,20.26127,8658170821574656256
12.194831984784,-0.774779711270889,54422.26897658,20.94922,19.14664,18.58681,18.38995,18.41194,8658201092527423535
12.1951268043672,-0.760025845805311,52959.1957736,24.33957,23.53949,23.16175,22.55396,22.31414,8658188525432079336
12.1951846528988,-0.767034826925121,53679.3117268901,21.74644,24.78131,24.40023,25.37961,22.62039,8658195281428676762
12.195220588746,-0.774023941057433,53990.34381977,22.78084,25.42656,25.77819,24.08102,20.67282,8658197471842009710
12.196575416459,-0.762966247751122,54407.2685394599,24.36769,26.72337,22.91561,23.49326,20.20769,8658200882074026590
12.1968956344901,-0.761874319505238,53990.34381977,26.42041,25.57375,22.14016,25.42534,23.66879,8658197471842009428
12.1970475940421,-0.762572551785007,52910.3250984,25.56374,24.41118,22.82561,24.41675,23.02454,8658188087345480499
12.1971614737741,-0.766973935500076,54056.27243522,25.66938,22.66871,23.91282,24.66926,22.14728,8658198494073127127
12.1972228405707,-0.766327168083563,52522.3496758,23.48002,24.72555,26.08332,25.0655,20.60445,8658466040448877346
12.1985453292251,-0.767066975037624,54012.28460782,24.67237,21.99624,25.03139,23.48678,22.16493,8658197914252673219
12.1992063039072,-0.769863447680603,0,28.47263,24.57712,24.44815,23.80169,23.49617,8647474690876704252
12.2005214482981,-0.762470597728279,53685.262186111,25.6504,26.10384,25.89877,24.65931,20.12572,8658195423170462146
12.2008548581055,-0.773352343734712,54059.26669252,22.94693,20.82432,19.43789,18.79004,18.57877,8658198545613062234
12.2009150275537,-0.773293547520527,54379.34958605,23.12047,20.77206,19.44925,18.84354,18.44309,8658200452577689745
12.2009241831297,-0.773265812842821,54418.26411852,24.9501,20.78134,19.44512,18.85869,18.56747,8658201040988995742
12.2009322043926,-0.773292448868454,54061.2776978,23.18286,20.82305,19.46272,18.84212,18.49207,8658198597387092051
12.2009328696862,-0.773273604013182,54049.30644961,22.30865,20.58256,19.42089,18.86038,18.50138,8658198360908365915
12.2009344474146,-0.773288453255004,54417.26613289,23.03712,20.80746,19.44834,18.88863,18.5565,8658201028077092952
12.2009348573402,-0.773310290037764,53700.25915223,23.13126,20.91224,19.50191,18.92407,18.59161,8658195646510792817
12.2009355125807,-0.773355256057333,54391.35907178,23.07697,20.85007,19.48563,18.82808,18.64481,8658200667293352064
12.200935697579,-0.773299694791928,53990.34381977,24.58273,20.78464,19.49274,18.83437,18.52642,8658197471842009188
12.2009360907149,-0.773271833091303,54362.35945432,24.40474,20.73835,19.46042,18.83961,18.47845,8658200246410477710
12.2009372428451,-0.773283168852168,54010.29187352,25.60426,20.80291,19.45669,18.84863,18.57474,8658197879891361929
12.2009391115082,-0.773298450381482,54387.3581225901,25.36014,20.74379,19.43304,18.89343,18.55064,8658200594310955089
12.2009393693845,-0.773307861918664,54053.2704134,22.95317,20.91651,19.47117,18.87563,18.56996,8658198438239142085
12.200940850936,-0.773282999521312,54394.34073291,23.82423,20.75428,19.49683,18.87435,18.59099,8658200710275334259
12.2009411053156,-0.773279043615079,52558.3538824,23.27044,20.81349,19.45781,18.88055,18.49635,8658184836068999237
12.2009417190718,-0.773283421535956,53994.35381256,23.28856,20.71546,19.46551,18.86482,18.45856,8658197579219206232
12.2009428855507,-0.773287682908357,53640.30973553,22.77122,20.77481,19.4783,18.91797,18.65158,8658194534113214596
12.2009438540998,-0.773294688372559,54382.33973901,22.28937,20.92095,19.44153,18.88602,18.57271,8658200512681476339
12.2009440998672,-0.773284044715488,52910.325513,23.12358,20.80179,19.4694,18.80497,18.53615,8658188087345545366
12.2009443097894,-0.773279701388672,51081.3175104,26.51852,20.83443,19.43233,18.87206,18.52754,8658170821574656124
12.200944347424,-0.773295395841917,54357.30973599,23.31561,20.73121,19.48172,18.8723,18.54671,8658200156226125916
12.2009444064893,-0.773328226790768,53998.30610324,23.85769,20.49754,19.48199,18.86415,18.79504,8658197673735094410
12.2009447860993,-0.773276192777997,54024.37193167,22.82665,20.78749,19.45914,18.90974,18.52802,8658198021601230954
12.2009457547846,-0.77328656328837,54402.35143905,24.82632,20.63383,19.39756,18.83057,18.46339,8658200783287615584
12.2009459179926,-0.77328696862157,52586.2449383,23.39343,20.82132,19.46418,18.85596,18.56273,8658185166775779499
12.2009460523198,-0.773284125440945,54424.20497897,21.99482,20.74405,19.45235,18.84626,18.48462,8658201135446032462
12.2009467616779,-0.77327450291612,53638.34575567,23.67233,20.80448,19.43329,18.87247,18.53706,8658194495439241352
12.2009469202788,-0.773264380944183,53676.33989798,24.65394,20.73384,19.45441,18.87764,18.47793,8658195225595478094
12.2009469368584,-0.773282343468648,53671.35071196,24.6129,20.79075,19.44303,18.87817,18.52166,8658195135395922097
12.2009476921087,-0.773269140996151,52963.1755468,24.10719,20.80953,19.4912,18.88827,18.49954,8658188594152013916
12.2009478024367,-0.773288004073305,54068.25219262,22.90635,20.65615,19.44716,18.87459,18.59648,8658198708793901138
12.2009479865247,-0.773282979144152,52552.345589,25.28044,20.81942,19.4774,18.91669,18.54881,8658466190789378199
12.2009481551223,-0.773285221702048,54040.27975931,23.37167,20.80632,19.41741,18.88772,18.51167,8658198279323844696
12.2009482532352,-0.773286309191794,54037.2654119401,23.83073,20.75863,19.47957,18.87806,18.51175,8658198236374171717
12.2009485956445,-0.773295723903238,54413.2640354,24.65817,20.69491,19.48347,18.88775,18.5243,8658200972268863625
12.2009488110216,-0.773275297548969,53669.26601371,23.52663,20.79265,19.45704,18.87731,18.54476,8658195092456472726
12.2009493314667,-0.773277065392371,54385.35771305,23.1787,20.75525,19.46152,18.86244,18.55897,8658200568541347933
12.2009506551898,-0.773292427668967,53705.2460237401,24.16568,20.81676,19.49138,18.89691,18.52355,8658195728113074312
12.2009508512226,-0.773284733027022,52522.3496758,24.3302,20.92135,19.47666,18.8621,18.56927,8658466040448876702
12.2009509427687,-0.773286811092045,54411.2235058599,23.98404,20.75327,19.39183,18.87327,18.52017,8658200933607342165
12.2009509611715,-0.773276125396996,53352.1465768,24.66339,20.84409,19.44108,18.83122,18.49447,8658191982880751780
12.2009510427538,-0.773278608259345,54028.36048751,22.42867,20.77809,19.43615,18.93377,18.58752,8658198077428727920
12.2009515026485,-0.773287171632593,53681.3031992401,23.08015,20.99696,20.37796,19.21663,18.6589,8658195350154772595
12.200951651613,-0.773287151690679,52935.2523412,22.61273,20.78206,19.46912,18.88665,18.52152,8658188336472916095
12.200951813466,-0.773357215225886,54047.31044621,27.46125,20.71376,19.41046,18.69898,18.41229,8658198330839466131
12.2009521673088,-0.767001604052003,53681.3031992401,24.37999,22.97472,22.45777,22.14415,22.17215,8658195350154772825
12.2009527083293,-0.77329954412825,54035.35986065,24.68267,20.68758,19.43713,18.87378,18.50514,8658198206296162380
